name,name_cleaned,team,position,now_cost
Ronnie Hollingshead,Ronnie Hollingshead,Aston Villa,GK,4.0
Sam Proctor,Sam Proctor,Aston Villa,GK,3.9
Alex Paulsen,Alex Paulsen,Bournemouth,GK,4.0
Callan McKenna,Callan McKenna,Bournemouth,GK,3.9
Christos Mandas,Christos Mandas,Bournemouth,GK,4.0
Đorđe Petrović,Djordje Petrovic,Bournemouth,GK,4.5
Fraser Forster,Fraser Forster,Bournemouth,GK,4.0
Norberto Murara Neto,Norberto Murara Neto,Bournemouth,GK,4.5
Will Dennis,Will Dennis,Bournemouth,GK,4.0
Caoimhín Kelleher,Caoimhin Kelleher,Brentford,GK,4.6
Ellery Balcombe,Ellery Balcombe,Brentford,GK,3.9
Hákon Rafn Valdimarsson,Hákon Rafn Valdimarsson,Brentford,GK,3.9
Julian Eyestone,Julian Eyestone,Brentford,GK,3.9
Matthew Cox,Matthew Cox,Brentford,GK,3.9
Bart Verbruggen,Bart Verbruggen,Brighton,GK,4.5
Carl Rushworth,Carl Rushworth,Brighton,GK,4.0
Jason Steele,Jason Steele,Brighton,GK,4.2
Kjell Scherpen,Kjell Scherpen,Brighton,GK,4.0
Tom McGill,Tom McGill,Brighton,GK,3.9
Etienne Green,Etienne Green,Burnley,GK,4.0
Martin Dúbravka,Martin Dubravka,Burnley,GK,4.0
Max Weiß,Max Weiss,Burnley,GK,4.3
Václav Hladký,Václav Hladký,Burnley,GK,3.9
Filip Jörgensen,Filip Jörgensen,Chelsea,GK,4.3
Gabriel Słonina,Gabriel Słonina,Chelsea,GK,3.9
Max Merrick,Max Merrick,Chelsea,GK,4.0
Mike Penders,Mike Penders,Chelsea,GK,4.0
Robert Lynch Sánchez,Robert Sanchez,Chelsea,GK,4.9
Teddy Sharman-Lowe,Teddy Sharman-Lowe,Chelsea,GK,4.0
Dean Henderson,Dean Henderson,Crystal Palace,GK,5.0
Remi Matthews,Remi Matthews,Crystal Palace,GK,3.9
Walter Benítez,Walter Benítez,Crystal Palace,GK,4.0
Harry Tyrer,Harry Tyrer,Everton,GK,3.9
Jordan Pickford,Jordan Pickford,Everton,GK,5.6
Mark Travers,Mark Travers,Everton,GK,4.3
Tom King,Tom King,Everton,GK,3.9
Alfie McNally,Alfie McNally,Fulham,GK,4.0
Benjamin Lecomte,Benjamin Lecomte,Fulham,GK,3.9
Bernd Leno,Bernd Leno,Fulham,GK,4.9
Steven Benda,Steven Benda,Fulham,GK,4.0
Alex Cairns,Alex Cairns,Leeds,GK,3.9
Illan Meslier,Illan Meslier,Leeds,GK,4.2
Karl Darlow,Karl Darlow,Leeds,GK,3.9
Lucas Estella Perri,Lucas Perri,Leeds,GK,4.5
Alisson Becker,Alisson Becker,Liverpool,GK,5.4
Freddie Woodman,Freddie Woodman,Liverpool,GK,3.9
Giorgi Mamardashvili,Giorgi Mamardashvili,Liverpool,GK,4.1
Ármin Pécsi,Ármin Pécsi,Liverpool,GK,3.8
Ederson Santana de Moraes,Ederson,Man City,GK,5.3
Gianluigi Donnarumma,Gianluigi Donnarumma,Man City,GK,5.6
James Trafford,James Trafford,Man City,GK,4.5
Marcus Bettinelli,Marcus Bettinelli,Man City,GK,3.8
Altay Bayındır,Altay Bayindir,Man Utd,GK,4.7
André Onana,Andre Onana,Man Utd,GK,4.9
Dermot Mee,Dermot Mee,Man Utd,GK,3.9
Elyh Harrison,Elyh Harrison,Man Utd,GK,4.0
Senne Lammens,Senne Lammens,Man Utd,GK,5.0
Tom Heaton,Tom Heaton,Man Utd,GK,3.9
