Season,Gameweek,Source,Team,Player
2026-2027,1,AllAboutFPL,Hull City,Liam Millar
2026-2027,1,AllAboutFPL,Ipswich Town,Kjell Scherpen
2026-2027,1,AllAboutFPL,Ipswich Town,Dara O'Shea
2026-2027,1,AllAboutFPL,Ipswich Town,Issa Diop
2026-2027,1,AllAboutFPL,Ipswich Town,Jacob Greaves
2026-2027,1,AllAboutFPL,Ipswich Town,Leif Davis
2026-2027,1,AllAboutFPL,Ipswich Town,Florentino
2026-2027,1,AllAboutFPL,Ipswich Town,Sasa Lukic
2026-2027,1,AllAboutFPL,Ipswich Town,Abdul Fatawu
2026-2027,1,AllAboutFPL,Ipswich Town,Sindre Walle Egeli
2026-2027,1,AllAboutFPL,Ipswich Town,Daizen Maeda
2026-2027,1,AllAboutFPL,Ipswich Town,Emersonn Correia da Silva
2026-2027,1,AllAboutFPL,Leeds,James Trafford
2026-2027,1,AllAboutFPL,Leeds,Joe Rodon
2026-2027,1,AllAboutFPL,Leeds,Jaka Bijol
2026-2027,1,AllAboutFPL,Leeds,Tarik Muharemović
2026-2027,1,AllAboutFPL,Leeds,Jayden Bogle
2026-2027,1,AllAboutFPL,Leeds,Anton Stach
2026-2027,1,AllAboutFPL,Leeds,Ethan Ampadu
2026-2027,1,AllAboutFPL,Leeds,James Justin
2026-2027,1,AllAboutFPL,Leeds,Harry Wilson
2026-2027,1,AllAboutFPL,Leeds,Dominic Calvert-Lewin
2026-2027,1,AllAboutFPL,Leeds,Brenden Aaronson
2026-2027,1,AllAboutFPL,Liverpool,Alisson Becker
2026-2027,1,AllAboutFPL,Liverpool,Jeremie Frimpong
2026-2027,1,AllAboutFPL,Liverpool,Jeremy Jacquet
2026-2027,1,AllAboutFPL,Liverpool,Virgil van Dijk
2026-2027,1,AllAboutFPL,Liverpool,Milos Kerkez
2026-2027,1,AllAboutFPL,Liverpool,Ryan Gravenberch
2026-2027,1,AllAboutFPL,Liverpool,Dominik Szoboszlai
2026-2027,1,AllAboutFPL,Liverpool,Rio Ngumoha
2026-2027,1,AllAboutFPL,Liverpool,Florian Wirtz
2026-2027,1,AllAboutFPL,Liverpool,Cody Gakpo
2026-2027,1,AllAboutFPL,Liverpool,Alexander Isak
2026-2027,1,AllAboutFPL,Man City,Gianluigi Donnarumma
2026-2027,1,AllAboutFPL,Man City,Matheus Nunes
2026-2027,1,AllAboutFPL,Man City,Ruben Dias
2026-2027,1,AllAboutFPL,Man City,Josko Gvardiol
2026-2027,1,AllAboutFPL,Man City,Nico O'Reilly
2026-2027,1,AllAboutFPL,Man City,Mateo Kovačić
2026-2027,1,AllAboutFPL,Man City,Elliot Anderson
2026-2027,1,AllAboutFPL,Man City,Rayan Cherki
2026-2027,1,AllAboutFPL,Man City,Phil Foden
2026-2027,1,AllAboutFPL,Man City,Antoine Semenyo
2026-2027,1,AllAboutFPL,Man City,Erling Haaland
2026-2027,1,AllAboutFPL,Man Utd,Senne Lammens
2026-2027,1,AllAboutFPL,Man Utd,Diogo Dalot
2026-2027,1,AllAboutFPL,Man Utd,Harry Maguire
2026-2027,1,AllAboutFPL,Man Utd,Ayden Heaven
2026-2027,1,AllAboutFPL,Man Utd,Luke Shaw
2026-2027,1,AllAboutFPL,Man Utd,Andrey Santos
2026-2027,1,AllAboutFPL,Man Utd,Youri Tielemans
