Season,home_team,away_team,home_win_odds,away_win_odds,home_title_odds,away_title_odds,home_relegation_odds,away_relegation_odds,home_top_6_odds,away_top_6_odds,Gameweek,draw_odds,home_clean_sheet_odds,home_over_1.5_odds,home_over_3.5_odds,away_clean_sheet_odds,away_over_1.5_odds,away_over_3.5_odds
2025-2026,Brighton,Everton,1.8,4.33,910.0909090909092,1109.695652173913,158.6521739130435,88.1304347826087,5.391304347826087,10.26086956521739,,,,,,,,
2025-2026,Leeds,Arsenal,6.5,1.53,1296.454545454545,1.182083333333333,10.41666666666667,1216.0,43.21739130434783,1.0,,,,,,,,
2025-2026,Wolves,Bournemouth,3.2,2.15,2643.857142857143,1218.391304347826,1.015238095238095,23.75,690.2857142857143,27.43478260869565,,,,,,,,
2025-2026,Chelsea,West Ham,1.44,6.5,244.75,2201.0,402.0869565217391,1.278333333333333,1.417391304347826,627.1904761904761,,,,,,,,
2025-2026,Liverpool,Newcastle,1.75,4.2,120.5833333333333,839.6363636363636,411.2272727272727,260.0909090909091,1.110869565217391,2.313913043478261,,,,,,,,
2025-2026,Nott'm Forest,Crystal Palace,2.1,3.7,1405.761904761905,1096.454545454545,6.583333333333333,25.29166666666667,111.4347826086957,23.1304347826087,,,,,,,,
2025-2026,Aston Villa,Brentford,2.0,3.7,40.0,946.6521739130436,639.8888888888889,181.0,1.062173913043478,5.041304347826087,,,,,,,,
2025-2026,Man Utd,Fulham,1.61,5.0,158.2916666666667,1131.434782608696,262.3636363636364,75.95652173913044,1.59,10.02173913043478,,,,,,,,
2025-2026,Spurs,Man City,4.6,1.66,1114.636363636364,5.458333333333333,28.33333333333333,411.2272727272727,21.30434782608696,1.013,,,,,,,,
2025-2026,Sunderland,Burnley,1.75,4.75,919.181818181818,2405.761904761905,88.91304347826087,1.02375,11.08695652173913,755.7619047619048,,,,,,,,
2025-2026,Brighton,Everton,1.85,4.2,976.0,1109.695652173913,115.1739130434783,83.34782608695652,7.159090909090909,10.52272727272727,,,,,,,,
2025-2026,Leeds,Arsenal,6.5,1.5,1296.454545454545,1.365,7.645833333333333,1716.0,58.72727272727273,1.0,,,,,,,,
2025-2026,Wolves,Bournemouth,3.0,2.3,2526.0,1218.391304347826,1.012272727272727,33.41666666666666,690.2857142857143,21.68181818181818,,,,,,,,
2025-2026,Chelsea,West Ham,1.53,5.5,144.125,2126.0,401.0,1.45375,1.311818181818182,397.4285714285714,,,,,,,,
2025-2026,Liverpool,Newcastle,1.75,4.33,182.25,873.7272727272727,411.2272727272727,210.0909090909091,1.225454545454545,3.17,,,,,,,,
