Team,Gameweek,Opponent,Win,Opponent Win,Diff,Venue,F1 Score 1+,F1 Assist,F1 Yellow Card,F1 Clean Sheet,F1 Concede 2+ Goals,F1 Concede 4+ Goals,F1 3+ Saves,F1 6+ Saves
Burnley,GW1,Spurs,0.15,0.62,-0.47,A,0.173160173,0.073260073,0.238095238,0.135802469,0.625,0.188311688,#N/A,#N/A
Burnley,GW1,Spurs,0.15,0.62,-0.47,A,#N/A,#N/A,#N/A,0.135802469,0.625,0.188311688,#N/A,#N/A
Burnley,GW1,Spurs,0.15,0.62,-0.47,A,0.173160173,0.086580087,0.297619048,0.135802469,0.625,0.188311688,#N/A,#N/A
Burnley,GW1,Spurs,0.15,0.62,-0.47,A,0.158730159,0.086580087,0.264550265,0.135802469,0.625,0.188311688,#N/A,#N/A
Burnley,GW1,Spurs,0.15,0.62,-0.47,A,#N/A,#N/A,#N/A,0.135802469,0.625,0.188311688,#N/A,#N/A
Bournemouth,GW1,Liverpool,0.11,0.75,-0.64,A,#N/A,#N/A,#N/A,0.074074074,0.732217573,0.290393013,#N/A,#N/A
Bournemouth,GW1,Liverpool,0.11,0.75,-0.64,A,#N/A,#N/A,0.146520147,0.074074074,0.732217573,0.290393013,0.807102502,0.280112045
Bournemouth,GW1,Liverpool,0.11,0.75,-0.64,A,#N/A,#N/A,#N/A,0.074074074,0.732217573,0.290393013,#N/A,#N/A
Bournemouth,GW1,Liverpool,0.11,0.75,-0.64,A,#N/A,#N/A,0.238095238,0.074074074,0.732217573,0.290393013,#N/A,#N/A
Bournemouth,GW1,Liverpool,0.11,0.75,-0.64,A,#N/A,#N/A,0.238095238,0.074074074,0.732217573,0.290393013,#N/A,#N/A
Bournemouth,GW1,Liverpool,0.11,0.75,-0.64,A,#N/A,#N/A,#N/A,0.074074074,0.732217573,0.290393013,#N/A,#N/A
Bournemouth,GW1,Liverpool,0.11,0.75,-0.64,A,0.063492063,0.050125313,0.331840053,0.074074074,0.732217573,0.290393013,#N/A,#N/A
Bournemouth,GW1,Liverpool,0.11,0.75,-0.64,A,0.041407867,0.045351474,0.293040293,0.074074074,0.732217573,0.290393013,#N/A,#N/A
Bournemouth,GW1,Liverpool,0.11,0.75,-0.64,A,0.063492063,0.095238095,0.238095238,0.074074074,0.732217573,0.290393013,#N/A,#N/A
Bournemouth,GW1,Liverpool,0.11,0.75,-0.64,A,#N/A,#N/A,#N/A,0.074074074,0.732217573,0.290393013,#N/A,#N/A
Bournemouth,GW1,Liverpool,0.11,0.75,-0.64,A,#N/A,#N/A,#N/A,0.074074074,0.732217573,0.290393013,#N/A,#N/A
Bournemouth,GW1,Liverpool,0.11,0.75,-0.64,A,0.063492063,0.073260073,0.238095238,0.074074074,0.732217573,0.290393013,#N/A,#N/A
Bournemouth,GW1,Liverpool,0.11,0.75,-0.64,A,0.050125313,0.073260073,0.307219662,0.074074074,0.732217573,0.290393013,#N/A,#N/A
Bournemouth,GW1,Liverpool,0.11,0.75,-0.64,A,0.050125313,0.036630037,0.293040293,0.074074074,0.732217573,0.290393013,#N/A,#N/A
Bournemouth,GW1,Liverpool,0.11,0.75,-0.64,A,#N/A,#N/A,#N/A,0.074074074,0.732217573,0.290393013,#N/A,#N/A
Bournemouth,GW1,Liverpool,0.11,0.75,-0.64,A,#N/A,#N/A,#N/A,0.074074074,0.732217573,0.290393013,#N/A,#N/A
Bournemouth,GW1,Liverpool,0.11,0.75,-0.64,A,0.211640212,0.095238095,0.253968254,0.074074074,0.732217573,0.290393013,#N/A,#N/A
Bournemouth,GW1,Liverpool,0.11,0.75,-0.64,A,0.211640212,0.119047619,0.253968254,0.074074074,0.732217573,0.290393013,#N/A,#N/A
Bournemouth,GW1,Liverpool,0.11,0.75,-0.64,A,0.146520147,0.105820106,0.19047619,0.074074074,0.732217573,0.290393013,#N/A,#N/A
Bournemouth,GW1,Liverpool,0.11,0.75,-0.64,A,0.050125313,0.050125313,0.331840053,0.074074074,0.732217573,0.290393013,#N/A,#N/A
